25-04-10 07:59:55 INFO  | HV000001: Hibernate Validator 8.0.2.Final
25-04-10 07:59:55 INFO  | Starting ChatGatewayApplication using Java 17 with PID 36260 (C:\Java\2025Space\SoketTest_split\ChatGateway\build\classes\java\main started by SMCHAE in C:\Java\2025Space\SoketTest_split\ChatGateway)
25-04-10 07:59:55 INFO  | No active profile set, falling back to 1 default profile: "default"
25-04-10 07:59:56 INFO  | Multiple Spring Data modules found, entering strict repository configuration mode
25-04-10 07:59:56 INFO  | Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
25-04-10 07:59:56 INFO  | Finished Spring Data repository scanning in 34 ms. Found 0 Reactive MongoDB repository interfaces.
25-04-10 07:59:56 INFO  | Multiple Spring Data modules found, entering strict repository configuration mode
25-04-10 07:59:56 INFO  | Bootstrapping Spring Data R2DBC repositories in DEFAULT mode.
25-04-10 07:59:56 INFO  | Finished Spring Data repository scanning in 13 ms. Found 0 R2DBC repository interfaces.
25-04-10 07:59:56 INFO  | Multiple Spring Data modules found, entering strict repository configuration mode
25-04-10 07:59:56 INFO  | Bootstrapping Spring Data Redis repositories in DEFAULT mode.
25-04-10 07:59:56 INFO  | Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
25-04-10 07:59:56 INFO  | BeanFactory id=219a1fda-5756-30c3-8334-c2911586063e
25-04-10 08:00:00 INFO  | Cannot determine local hostname
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [After]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Before]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Between]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Cookie]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Header]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Host]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Method]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Path]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Query]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [ReadBody]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [RemoteAddr]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [XForwardedRemoteAddr]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [Weight]
25-04-10 08:00:00 INFO  | Loaded RoutePredicateFactory [CloudFoundryRouteService]
25-04-10 08:00:01 INFO  | Adding discovered server localhost:27017 to client view of cluster
25-04-10 08:00:01 INFO  | Adding discovered server localhost:27018 to client view of cluster
